year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,mapped_Category
,,,,,,,,
,,,,,,,,
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Emil Jannings,The Last Command,TRUE,Actor in a Leading Role
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Emil Jannings,The Way of All Flesh,TRUE,Actor in a Leading Role
,,,,,,,,
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,7th Heaven,TRUE,Actress in a Leading Role
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,Street Angel,TRUE,Actress in a Leading Role
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,Sunrise,TRUE,Actress in a Leading Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1927,1928,1,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,TRUE,Directing
,,,,,,,,
1927,1928,1,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,TRUE,Directing
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1927,1928,1,OUTSTANDING PICTURE,BEST PICTURE,Paramount Famous Lasky,Wings,TRUE,Best Picture
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1927,1928,1,WRITING (Adaptation),WRITING (Adapted Screenplay),Benjamin Glazer,7th Heaven,TRUE,Writing (Adapted Screenplay)
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,Warner Baxter,In Old Arizona,TRUE,Actor in a Leading Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Mary Pickford,Coquette,TRUE,Actress in a Leading Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1928,1929,2,DIRECTING,DIRECTING,Frank Lloyd,The Divine Lady,TRUE,Directing
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,TRUE,Best Picture
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Hans Kraly,The Patriot,TRUE,Writing (Adapted Screenplay)
,,,,,,,,
,,,,,,,,
,,,,,,,,
