year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,mapped_Category.
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Richard Barthelmess,The Noose,FALSE,Actor in a Leading Role
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Richard Barthelmess,The Patent Leather Kid,FALSE,Actor in a Leading Role
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Emil Jannings,The Last Command,TRUE,Actor in a Leading Role
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Emil Jannings,The Way of All Flesh,TRUE,Actor in a Leading Role
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Louise Dresser,A Ship Comes In,FALSE,Actress in a Leading Role
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,7th Heaven,TRUE,Actress in a Leading Role
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,Street Angel,TRUE,Actress in a Leading Role
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,Sunrise,TRUE,Actress in a Leading Role
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Gloria Swanson,Sadie Thompson,FALSE,Actress in a Leading Role
1927,1928,1,ART DIRECTION,ART DIRECTION,Rochus Gliese,Sunrise,FALSE,Other
1927,1928,1,ART DIRECTION,ART DIRECTION,William Cameron Menzies,The Dove,TRUE,Other
1927,1928,1,ART DIRECTION,ART DIRECTION,William Cameron Menzies,Tempest,TRUE,Other
1927,1928,1,ART DIRECTION,ART DIRECTION,Harry Oliver,7th Heaven,FALSE,Other
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,The Devil Dancer,FALSE,Other
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,The Magic Flame,FALSE,Other
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,Sadie Thompson,FALSE,Other
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,Charles Rosher/Karl Struss,Sunrise,TRUE,Other
1927,1928,1,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,TRUE,Directing
1927,1928,1,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Ted Wilde,Speedy,FALSE,Directing
1927,1928,1,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,TRUE,Directing
1927,1928,1,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,FALSE,Directing
1927,1928,1,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),King Vidor,The Crowd,FALSE,Directing
1927,1928,1,ENGINEERING EFFECTS,VISUAL EFFECTS,Ralph Hammeras,,FALSE,Other
1927,1928,1,ENGINEERING EFFECTS,VISUAL EFFECTS,Roy Pomeroy,Wings,TRUE,Other
1927,1928,1,ENGINEERING EFFECTS,VISUAL EFFECTS,Nugent Slaughter,,FALSE,Other
1927,1928,1,OUTSTANDING PICTURE,BEST PICTURE,The Caddo Company,The Racket,FALSE,Best Picture
1927,1928,1,OUTSTANDING PICTURE,BEST PICTURE,Fox,7th Heaven,FALSE,Best Picture
1927,1928,1,OUTSTANDING PICTURE,BEST PICTURE,Paramount Famous Lasky,Wings,TRUE,Best Picture
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,TRUE,Other
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,FALSE,Other
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,FALSE,Other
1927,1928,1,WRITING (Adaptation),WRITING (Adapted Screenplay),Alfred Cohn,The Jazz Singer,FALSE,Writing (Adapted Screenplay)
1927,1928,1,WRITING (Adaptation),WRITING (Adapted Screenplay),Anthony Coldeway,Glorious Betsy,FALSE,Writing (Adapted Screenplay)
1927,1928,1,WRITING (Adaptation),WRITING (Adapted Screenplay),Benjamin Glazer,7th Heaven,TRUE,Writing (Adapted Screenplay)
1927,1928,1,WRITING (Original Story),WRITING (Original Story),Lajos Biro,The Last Command,FALSE,Other
1927,1928,1,WRITING (Original Story),WRITING (Original Story),Ben Hecht,Underworld,TRUE,Other
1927,1928,1,WRITING (Title Writing),WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,FALSE,Other
1927,1928,1,WRITING (Title Writing),WRITING (Title Writing),Joseph Farnham,,TRUE,Other
1927,1928,1,WRITING (Title Writing),WRITING (Title Writing),George Marion Jr.,,FALSE,Other
1927,1928,1,SPECIAL AWARD,SPECIAL AWARD,Warner Bros.,The Jazz Singer,TRUE,Other
1927,1928,1,SPECIAL AWARD,SPECIAL AWARD,Charles Chaplin,The Circus,TRUE,Other
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,George Bancroft,Thunderbolt,FALSE,Actor in a Leading Role
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,Warner Baxter,In Old Arizona,TRUE,Actor in a Leading Role
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,Chester Morris,Alibi,FALSE,Actor in a Leading Role
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,Paul Muni,The Valiant,FALSE,Actor in a Leading Role
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,Lewis Stone,The Patriot,FALSE,Actor in a Leading Role
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Ruth Chatterton,Madame X,FALSE,Actress in a Leading Role
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Betty Compson,The Barker,FALSE,Actress in a Leading Role
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Jeanne Eagels,The Letter,FALSE,Actress in a Leading Role
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Corinne Griffith,The Divine Lady,FALSE,Actress in a Leading Role
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Bessie Love,The Broadway Melody,FALSE,Actress in a Leading Role
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Mary Pickford,Coquette,TRUE,Actress in a Leading Role
1928,1929,2,ART DIRECTION,ART DIRECTION,Hans Dreier,The Patriot,FALSE,Other
1928,1929,2,ART DIRECTION,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,TRUE,Other
1928,1929,2,ART DIRECTION,ART DIRECTION,Mitchell Leisen,Dynamite,FALSE,Other
1928,1929,2,ART DIRECTION,ART DIRECTION,William Cameron Menzies,Alibi,FALSE,Other
1928,1929,2,ART DIRECTION,ART DIRECTION,William Cameron Menzies,The Awakening,FALSE,Other
1928,1929,2,ART DIRECTION,ART DIRECTION,Harry Oliver,Street Angel,FALSE,Other
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,FALSE,Other
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,TRUE,Other
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,Arthur Edeson,In Old Arizona,FALSE,Other
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,Ernest Palmer,Four Devils,FALSE,Other
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,Ernest Palmer,Street Angel,FALSE,Other
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,John Seitz,The Divine Lady,FALSE,Other
1928,1929,2,DIRECTING,DIRECTING,Lionel Barrymore,Madame X,FALSE,Directing
1928,1929,2,DIRECTING,DIRECTING,Harry Beaumont,The Broadway Melody,FALSE,Directing
1928,1929,2,DIRECTING,DIRECTING,Irving Cummings,In Old Arizona,FALSE,Directing
1928,1929,2,DIRECTING,DIRECTING,Frank Lloyd,The Divine Lady,TRUE,Directing
1928,1929,2,DIRECTING,DIRECTING,Frank Lloyd,Drag,FALSE,Directing
1928,1929,2,DIRECTING,DIRECTING,Frank Lloyd,Weary River,FALSE,Directing
1928,1929,2,DIRECTING,DIRECTING,Ernst Lubitsch,The Patriot,FALSE,Directing
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Feature Productions,Alibi,FALSE,Best Picture
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Fox,In Old Arizona,FALSE,Best Picture
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,TRUE,Best Picture
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,FALSE,Best Picture
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Paramount Famous Lasky,The Patriot,FALSE,Best Picture
